# Escenarios a diversificar (aparecen en pares con |r| >= 0.7)
# Generado por run_analysis.py --phase correlation. Total: 540 escenarios.
# Criterio: trabajar en estos para que su vector de features difiera del resto y baje |r|.

S5_TwoLayer_StudentsStaff__TP05_CriticalTTL  (# pares con |r|>=0.7: 12)
C2_ExamDay_LongStays__TP02_LowLoad  (# pares con |r|>=0.7: 12)
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP12_GroupToGroup  (# pares con |r|>=0.7: 12)
S6_FamilyGroups_SmallPersistent__TP02_LowLoad  (# pares con |r|>=0.7: 12)
U7_HighTimeVariance_HelsinkiDowntown__TP07_BurstWindow  (# pares con |r|>=0.7: 12)
C6_EmergencyDrill_Evacuation__TP05_CriticalTTL  (# pares con |r|>=0.7: 12)
U3_MicroMobility_HelsinkiDowntown__TP10_Storm  (# pares con |r|>=0.7: 12)
D1_ShelterHotspots_Clusters__TP03_ManySmall  (# pares con |r|>=0.7: 12)
S1_StrongCommunities_SeparateClusters__TP08_HubTarget  (# pares con |r|>=0.7: 12)
C4_CampusEvent_IngressEgress__TP09_Bimodal  (# pares con |r|>=0.7: 11)
C3_Hackathon_24h__TP07_BurstWindow  (# pares con |r|>=0.7: 11)
R8_IntermittentPower__TP08_HubTarget  (# pares con |r|>=0.7: 11)
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP09_Bimodal  (# pares con |r|>=0.7: 11)
D4_MedicalTriage_TwoClasses__TP12_GroupToGroup  (# pares con |r|>=0.7: 11)
V5_CarOwnership_100_ManhattanMidtownGrid__TP03_ManySmall  (# pares con |r|>=0.7: 11)
S6_FamilyGroups_SmallPersistent__TP08_HubTarget  (# pares con |r|>=0.7: 11)
R8_IntermittentPower__TP05_CriticalTTL  (# pares con |r|>=0.7: 11)
V4_CarOwnership_0_ManhattanMidtownGrid__TP03_ManySmall  (# pares con |r|>=0.7: 11)
U7_HighTimeVariance_HelsinkiDowntown__TP01_Baseline  (# pares con |r|>=0.7: 11)
